Frame,Sim_Time,Active_Watts,Base100_Watts,Base70_Watts,Savings_vs_100,Savings_vs_70
3,0.07,282.0,400.0,280.0,29.5,-0.7
6,0.13,284.0,400.0,280.0,29.0,-1.4
9,0.2,286.0,400.0,280.0,28.5,-2.1
12,0.27,288.0,400.0,280.0,28.0,-2.9
15,0.33,290.0,400.0,280.0,27.5,-3.6
18,0.4,292.0,400.0,280.0,27.0,-4.3
21,0.47,294.0,400.0,280.0,26.5,-5.0
24,0.53,296.0,400.0,280.0,26.0,-5.7
27,0.6,298.0,400.0,280.0,25.5,-6.4
30,0.67,300.0,400.0,280.0,25.0,-7.1
33,0.73,302.0,400.0,280.0,24.5,-7.9
36,0.8,304.0,400.0,280.0,24.0,-8.6
39,0.87,306.0,400.0,280.0,23.5,-9.3
42,0.93,308.0,400.0,280.0,23.0,-10.0
45,1.0,310.0,400.0,280.0,22.5,-10.7
48,1.07,312.0,400.0,280.0,22.0,-11.4
51,1.13,314.0,400.0,280.0,21.5,-12.1
54,1.2,316.0,400.0,280.0,21.0,-12.9
57,1.27,318.0,400.0,280.0,20.5,-13.6
60,1.33,320.0,400.0,280.0,20.0,-14.3
63,1.4,322.0,400.0,280.0,19.5,-15.0
66,1.47,324.0,400.0,280.0,19.0,-15.7
69,1.53,326.0,400.0,280.0,18.5,-16.4
72,1.6,328.0,400.0,280.0,18.0,-17.1
75,1.67,330.0,400.0,280.0,17.5,-17.9
78,1.73,332.0,400.0,280.0,17.0,-18.6
81,1.8,334.0,400.0,280.0,16.5,-19.3
84,1.87,336.0,400.0,280.0,16.0,-20.0
87,1.93,338.0,400.0,280.0,15.5,-20.7
90,2.0,340.0,400.0,280.0,15.0,-21.4
93,2.07,342.0,400.0,280.0,14.5,-22.1
96,2.13,344.0,400.0,280.0,14.0,-22.9
99,2.2,346.0,400.0,280.0,13.5,-23.6
102,2.27,348.0,400.0,280.0,13.0,-24.3
105,2.33,350.0,400.0,280.0,12.5,-25.0
108,2.4,352.0,400.0,280.0,12.0,-25.7
111,2.47,354.0,400.0,280.0,11.5,-26.4
114,2.53,356.0,400.0,280.0,11.0,-27.1
117,2.6,358.0,400.0,280.0,10.5,-27.9
120,2.67,360.0,400.0,280.0,10.0,-28.6
123,2.73,362.0,400.0,280.0,9.5,-29.3
126,2.8,364.0,400.0,280.0,9.0,-30.0
129,2.87,366.0,400.0,280.0,8.5,-30.7
132,2.93,368.0,400.0,280.0,8.0,-31.4
135,3.0,370.0,400.0,280.0,7.5,-32.1
138,3.07,372.0,400.0,280.0,7.0,-32.9
141,3.13,374.0,400.0,280.0,6.5,-33.6
144,3.2,376.0,400.0,280.0,6.0,-34.3
147,3.27,378.0,400.0,280.0,5.5,-35.0
150,3.33,380.0,400.0,280.0,5.0,-35.7
153,3.4,381.5,400.0,280.0,4.6,-36.2
156,3.47,383.0,400.0,280.0,4.2,-36.8
159,3.53,384.5,400.0,280.0,3.9,-37.3
162,3.6,386.0,400.0,280.0,3.5,-37.9
165,3.67,387.5,400.0,280.0,3.1,-38.4
168,3.73,389.0,400.0,280.0,2.8,-38.9
171,3.8,390.5,400.0,280.0,2.4,-39.5
174,3.87,392.0,400.0,280.0,2.0,-40.0
177,3.93,393.5,400.0,280.0,1.6,-40.5
180,4.0,395.0,400.0,280.0,1.2,-41.1
183,4.07,395.0,400.0,280.0,1.2,-41.1
186,4.13,395.0,400.0,280.0,1.2,-41.1
189,4.2,395.0,400.0,280.0,1.2,-41.1
192,4.27,395.0,400.0,280.0,1.2,-41.1
195,4.33,395.0,400.0,280.0,1.2,-41.1
198,4.4,395.0,400.0,280.0,1.2,-41.1
201,4.47,393.5,400.0,280.0,1.6,-40.5
204,4.53,392.0,400.0,280.0,2.0,-40.0
207,4.6,390.5,400.0,280.0,2.4,-39.5
210,4.67,389.0,400.0,280.0,2.8,-38.9
213,4.73,387.5,400.0,280.0,3.1,-38.4
216,4.8,386.0,400.0,280.0,3.5,-37.9
219,4.87,384.5,400.0,280.0,3.9,-37.3
222,4.93,383.0,400.0,280.0,4.2,-36.8
225,5.0,381.5,400.0,280.0,4.6,-36.2
228,5.07,380.0,400.0,280.0,5.0,-35.7
231,5.13,380.0,400.0,280.0,5.0,-35.7
234,5.2,380.0,400.0,280.0,5.0,-35.7
237,5.27,380.0,400.0,280.0,5.0,-35.7
240,5.33,380.0,400.0,280.0,5.0,-35.7
